更新时间 2024-05-13

💘中央,#genre#
CCTV-1综合,http://xyt.186738613.xyz/lngd.php?id=488&Cf.m3u8
CCTV-1综合,http://123.184.28.33/hlslive-tx-cdn.ysp.cctv.cn/026/2024078203.m3u8
CCTV-1综合,http://video.qd.sdu.edu.cn/liverespath/b455c7a019d404d571655c457e0ee8a9440a7802/index.m3u8

CCTV-2财经,http://123.184.28.33/hlslive-tx-cdn.ysp.cctv.cn/028/2024075403.m3u8
CCTV-2财经,http://xyt.186738613.xyz/lngd.php?id=061&Cf.m3u8

CCTV-3综艺,http://123.184.28.33/hlslive-tx-cdn.ysp.cctv.cn/043/2024068503.m3u8
CCTV-3综艺,http://video.qd.sdu.edu.cn/liverespath/f76f9947c68be18d7a456e25aa59a08c5747e6a5/index.m3u8
CCTV-3综艺,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225558/index.m3u8
CCTV-3综艺,http://xyt.186738613.xyz/lngd.php?id=062&Cf.m3u8

CCTV-4中文国际,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV-4中文国际,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225493/index.m3u8

CCTV-5体育,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/055/2024078403.m3u8
CCTV-5体育,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?&encrypt=
CCTV-5体育,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV5_HD/index.m3u8?gMac=unknown&livodToken=3372ee&2024奥运
CCTV-5体育,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225489/index.m3u8
CCTV-5体育,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225489/index.m3u8
CCTV-6电影,https://api.olelive.com/dis/live/CCTV6HD/hls.m3u8
CCTV-6电影,https://api.olelive.com/dis/live/CCTV6HD/hls.m3u8
CCTV-6电影,http://123.184.28.33/hlslive-tx-cdn.ysp.cctv.cn/066/2024086203.m3u8
CCTV-6电影,http://video.qd.sdu.edu.cn/liverespath/f2f39ee2105c85c32df375728a51b5d89d3afab4/index.m3u8

CCTV-7国防军事,http://111.207.22.10:8888/newlive/live/hls/9/live.m3u8
CCTV-7国防军事,http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv7.m3u8
CCTV-7国防军事,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv7.m3u8
CCTV-8电视剧,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV-8电视剧,http://221.210.64.165:2233/hls/15/index.m3u8
CCTV-8电视剧,http://101.19.60.244:9901/tsfile/live/0008_1.m3u8
CCTV-9纪录,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV-9纪录,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000014583/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=3
CCTV-9纪录,http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv9.m3u8
CCTV-10科教,http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv10.m3u8
CCTV-10科教,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv10.m3u8
CCTV-10科教,http://101.71.176.182:8888/newlive/live/hls/12/live.m3u8
CCTV-11戏曲,http://221.2.146.228:8888/newlive/live/hls/12/live.m3u8
CCTV-11戏曲,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41/index.m3u8
CCTV-11戏曲,http://36.96.38.246:8888/newlive/live/hls/13/live.m3u8
CCTV-12社会与法,http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv12.m3u8
CCTV-12社会与法,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv12.m3u8
CCTV-12社会与法,https://iptv.luas.edu.cn/liverespath/fb84bde1de15cdb0308a7910cebc0497594ae94e/e2d8885f42-0-0-6e1f55986652ba786606a116c5cc0775/index.m3u8
CCTV-13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8?auth_key=1635962688
CCTV-13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8?auth_key=1635962688
CCTV-13新闻,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226717/1.m3u8
CCTV-14少儿,http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv14.m3u8
CCTV-14少儿,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv14.m3u8
CCTV-14少儿,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel12/index.m3u8
CCTV-14少儿,http://mqiptv.com:8014/ch/cctv14/mqlive.m3u8
CCTV-15音乐,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv15.m3u8
CCTV-15音乐,http://111.207.22.10:8888/newlive/live/hls/17/live.m3u8
CCTV-15音乐,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV-15音乐,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel40/index.m3u8


📺卫视,#genre#
湖南卫视,http://64.140.167.170:8080/live/ydws5/hls.m3u8
湖南卫视,http://tvbox.netsite.cc/proxy/823956387/823956387.m3u8
